							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
305,87	2,2855	15,453	8,396		7,7265		151,8657725	316,1173815	251,807267
306,66	2,3045	16,258	8,7685		8,129		153,6788225	328,6432265	258,5872445
307,46	2,3075	17,122	9,1591		8,561		155,5236225	341,9952265	265,7582845
308,25	2,3188	18,034	9,5908		9,017		157,351011	355,8818465	273,164495
309,04	2,3307	18,963	10,032		9,4815		159,1875635	370,4956615	280,915501
309,84	2,3314	19,92	10,476		9,96		161,0524035	386,0488615	289,118701
310,63	2,3331	20,878	10,925		10,439		162,894881	402,1640715	297,572096
311,42	2,3385	21,91	11,402		10,955		164,740163	419,0653315	306,391261
312,21	2,3572	22,954	11,889		11,477		166,5949645	436,7866115	315,591206
313,01	2,3737	24,017	12,418		12,0085		168,4873245	455,5750115	325,314006
313,8	2,3777	25,126	12,921		12,563		170,3641275	474,9864965	335,322911
314,59	2,4032	26,311	13,455		13,1555		172,252583	495,304111499999	345,741431
315,38	2,3982	27,613	13,974		13,8065		174,149136	516,6040915	356,575886
316,17	2,3934	29,072	14,513		14,536		176,041818	538,994666500001	367,828251
316,97	2,3802	30,843	15,053		15,4215		177,951258	562,960666500001	379,654651
317,76	2,381	33,215	15,651		16,6075		179,831932	588,2635765	391,782731
318,55	2,3845	36,487	16,311		18,2435		181,7143045	615,7958665	404,407721
319,34	2,3807	41,006	17,029		20,503		183,5965585	646,405601499999	417,577020999999
320,13	2,3607	47,279	17,828		23,6395		185,4694115	681,2781765	431,345536
320,93	2,3266	55,68	18,782		27,84		187,3443315	722,461776500001	445,989536
321,72	2,2914	66,557	19,985		33,2785		189,1684415	770,745391500002	461,302501000001
322,51	2,3018	79,787	21,784		39,8935		190,9827555	828,551271499999	477,801256
323,3	2,2946	94,938	24,483		47,469		192,7983335	897,567646500001	496,076721
324,09	2,3007	111,49	28,452		55,745		194,613477	979,106706499997	516,986045999999
324,88	2,3132	129,19	34,14		64,595		196,4359675	1074,1753065	541,709886
325,67	2,318	147,84	41,816		73,92		198,2652915	1183,6021565	571,712506000001
326,47	2,3137	167,73	51,312		83,865		200,1179715	1309,8301565	608,963706000001
327,26	2,3186	188,98	62,274		94,49		201,94773	1450,7306065	653,830175999999
328,05	2,3221	211,9	74,51		105,95		203,7808065	1609,0782065	707,859856
328,84	2,3369	236,76	88,145		118,38		205,6211115	1786,29890649999	772,108580999997
329,63	2,3747	264,44	103,74		132,22		207,4821935	1984,2729065	847,903155999999
330,42	2,4182	294,17	121,21		147,085		209,375389	2204,9238565	936,758406000002
331,21	2,4055	321,08	138,25		160,54		211,2807505	2447,94760649999	1039,245106
332	2,4066	342,69	153,14		171,345		213,18153	2710,1367565	1154,344156
332,79	2,404	361,23	166,34		180,615		215,081717	2988,18515650001	1280,538756
333,58	2,4089	378,3	178,02		189,15		216,9828125	3280,29950649999	1416,560956
334,37	2,4162	394,69	188,23		197,345		218,888727	3585,6305565	1561,229706
335,16	2,4298	410,35	197,16		205,175		220,802897	3903,62135650001	1713,458756
335,95	2,4398	424,76	204,98		212,38		222,726389	4233,4898065	1872,304056
336,74	2,4685	437,33	211,81		218,665		224,6651675	4574,0153565	2036,936106
337,53	2,4679	447,92	217,81		223,96		226,6150455	4923,68910649999	2206,63600599999
338,32	2,4883	456,01	222,85		228,005		228,5727445	5280,7414565	2380,696706
339,11	2,4816	462,4	227,04		231,2		230,535855	5643,51340650001	2558,403256
339,9	2,5162	471,4	232,12		235,7		232,509986	6012,36440649999	2739,77145599999
340,69	2,5457	485,23	239,04		242,615		234,5094365	6390,2332565	2925,879656
341,48	2,5763	502,22	246,84		251,11		236,5326265	6780,27600650001	3117,802256
342,27	2,6114	521,33	255,09		260,665		238,581768	7184,57825649999	3316,06460599999
343,06	2,6548	541,63	263,25		270,815		240,661917	7604,4474565	3520,808906
343,85	2,684	562,64	271,36		281,32		242,770743	8040,63410650001	3731,97985600001
344,64	2,7268	584,05	279,45		292,025		244,908009	8493,57665649999	3949,549806
345,43	2,7546	605,04	287,37		302,52		247,073162	8963,2672065	4173,443706
346,22	2,8153	625,22	295,12		312,61		249,2732725	9449,21990650002	4403,52725600001
347,01	2,8548	644,1	302,33		322,05		251,512962	9950,60130649999	4639,520006
347,8	2,9205	661,96	309,24		330,98		253,7942055	10466,4950065	4881,090156
348,59	2,9725	678,98	316,05		339,49		256,1219405	10996,1663065	5128,07970599999
349,37	3,0257	695,75	323,26		347,875		258,4612385	11532,3110065	5377,410606
350,16	3,0856	712,52	331,07		356,26		260,875202	12088,5776565	5635,87095600001
350,95	3,148	727,84	338,54		363,92		263,337474	12657,5198565	5900,36690599999
351,74	3,2028	742,76	346,39		371,38		265,84604	13238,4068565	6170,914256
352,53	3,2924	757,97	354,88		378,985		268,411644	13831,1952065	6447,91590599999
353,32	3,3586	773,86	364,16		386,93		271,038789	14436,2680565	6731,936706
354,11	3,4473	791,45	374,54		395,725		273,7271195	15054,5655065	7023,723206
