							Integrated Y1	Integrated Y 2	Integrated Y 3
	20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt		Lumatec 2 Filter 3 skaliert		20120613_Lumatec2_Filter0_5cm_geringe_Leitstung_0.7W.txt	20120613_Lumatec2_Filter3_5cm_geringe_Leistung_0.36W.txt	20120623_Lumatec2_Filter1_5cm_geringeLeistung_0.39W.txt
488,56	479,38	0,63297	304,68		0,316485		75846,191849	61671,6328665	116224,248906
489,33	470,24	0,63063	273,08		0,315315		76211,795549	61672,1193525	116446,686506
490,11	458,07	0,61408	240,45		0,30704		76573,836449	61672,6047894	116646,963206
490,88	443,97	0,59062	208,26		0,29531		76921,121849	61673,0685989	116819,716556
491,66	429,5	0,5715	178,05		0,28575		77261,775149	61673,5218257	116970,377456
492,43	414,86	0,55492	150,47		0,27746		77586,853749	61673,9554974	117096,857656
493,21	400,45	0,53838	125,96		0,26919		77904,824649	61674,3818844	117204,665356
493,98	386,46	0,51721	104,67		0,258605		78207,784999	61674,78828655	117293,457906
494,75	372,96	0,49497	86,373		0,247485		78500,161699	61675,17797585	117367,009461
495,53	359,95	0,47421	70,773		0,237105		78785,996599	61675,55595605	117428,296401
496,3	348,08	0,45411	57,681		0,227055		79058,588149	61675,91335925	117477,751191
497,08	337,74	0,43385	46,837		0,216925		79326,057949	61676,25966365	117518,513211
497,85	329,03	0,41264	37,939		0,20632		79582,764399	61676,5855623	117551,151971
498,63	321,62	0,39434	30,616		0,19717		79836,517899	61676,9002845	117577,888421
499,4	315,02	0,3782	24,537		0,1891		80081,624299	61677,1977124	117599,122326
500,17	308,74	0,36032	19,455		0,18016		80321,771899	61677,4820426	117616,059246
500,95	302,66	0,34623	15,236		0,173115		80560,217899	61677,7575971	117629,588736
501,72	296,84	0,3311	11,805		0,16555		80791,025399	61678,01836915	117639,999521
502,49	291,44	0,31476	9,0681		0,15738		81017,513199	61678,26702525	117648,0356645
503,27	286,5	0,30371	6,9518		0,151855		81242,909799	61678,50822855	117654,2834255
504,04	282,15	0,29183	5,3589		0,145915		81461,840049	61678,73751145	117659,023045
504,81	278,24	0,28255	4,1944		0,141275		81677,590199	61678,95864775	117662,7010655
505,59	274,8	0,27531	3,3625		0,137655		81893,275799	61679,17621315	117665,6482565
506,36	271,76	0,26794	2,7776		0,13397		82103,701399	61679,3853644	117668,012195
507,13	269,17	0,26564	2,3804		0,13282		82311,959449	61679,5907927	117669,998025
507,91	266,98	0,26268	2,099		0,13134		82521,057949	61679,7968375	117671,744991
508,68	265,11	0,26135	1,8999		0,130675		82725,912599	61679,99858905	117673,2845675
509,45	263,51	0,25547	1,7517		0,127735		82929,431299	61680,19756475	117674,6904335
510,23	262,21	0,25097	1,6396		0,125485		83134,462099	61680,39507635	117676,0130405
511	261,04	0,24994	1,5553		0,12497		83335,913349	61680,5879267	117677,243077
511,77	259,98	0,25038	1,4853		0,12519		83536,506049	61680,7805499	117678,413708
512,54	258,95	0,25045	1,4274		0,125225		83736,2940989999	61680,97336945	117679,5350975
513,32	258,03	0,24828	1,3726		0,12414		83937,916299	61681,16787415	117680,6270975
514,09	257,08	0,24695	1,3257		0,123475		84136,233649	61681,3585377	117681,665943
514,86	256,18	0,24693	1,2836		0,123465		84333,838749	61681,5486815	117682,6705235
515,63	255,25	0,24336	1,2407		0,12168		84530,739299	61681,73744315	117683,642379
516,41	254,3	0,24282	1,2084		0,12141		84729,463799	61681,92705335	117684,597528
517,18	253,36	0,24043	1,1744		0,120215		84924,912899	61682,1131046	117685,514906
517,95	252,48	0,23766	1,1442		0,11883		85119,661299	61682,29716925	117686,407567
518,72	251,62	0,23758	1,1173		0,11879		85313,739799	61682,48013665	117687,2782445
519,49	250,83	0,23473	1,0891		0,117365		85507,183049	61682,661976	117688,1277085
520,27	250,14	0,23255	1,0629		0,116275		85702,561349	61682,8442152	117688,9669885
521,04	249,57	0,22958	1,0399		0,11479		85894,949699	61683,02213525	117689,7765665
521,81	249,1	0,22814	1,0175		0,11407		86086,937649	61683,19835745	117690,5686655
522,58	248,91	0,22784	1,0004		0,11392		86278,671499	61683,37390975	117691,345557
523,35	248,87	0,2253	0,98344		0,11265		86470,316799	61683,54836865	117692,1093354
524,12	249,26	0,22464	0,97084		0,11232		86662,096849	61683,72159555	117692,8617332
524,9	250,02	0,22243	0,95183		0,111215		86856,816049	61683,89595285	117693,6115745
525,67	251,37	0,22233	0,93573		0,111165		87049,851199	61684,06718545	117694,3382851
526,44	253,51	0,22292	0,92235		0,11146		87244,229999	61684,2386067	117695,0536459
527,21	256,8	0,22144	0,90651		0,11072		87440,699349	61684,4096853	117695,757757
527,98	261,59	0,22301	0,89561		0,111505		87640,279499	61684,58079855	117696,4515732
528,75	268,04	0,22159	0,88405		0,110795		87844,187049	61684,75196955	117697,1367423
529,52	275,98	0,22783	0,87649		0,113915		88053,6347489999	61684,92499625	117697,8145502
530,29	285,07	0,23227	0,87217		0,116135		88269,6389989999	61685,10213475	117698,4877843
531,06	295,09	0,23562	0,86372		0,11781		88493,0005989999	61685,2822724	117699,15610195
531,83	306,15	0,24115	0,85587		0,120575		88724,477999	61685,46582885	117699,8181441
532,6	318,59	0,24773	0,84852		0,123865		88965,002899	61685,65404765	117700,47433425
533,37	332,96	0,25975	0,8486		0,129875		89215,849649	61685,84942745	117701,12772545
534,15	349,45	0,27591	0,85539		0,137955		89481,9895489999	61686,05833485	117701,79228155
534,92	367,8	0,30082	0,86661		0,15041		89758,1307989999	61686,2803759	117702,45525155
535,69	387,42	0,33625	0,88738		0,168125		90048,890499	61686,52564785	117703,1305377
536,46	407,41	0,38358	0,91712		0,19179		90354,900049	61686,8027824	117703,8252702
537,23	427,52	0,46544	0,97886		0,23272		90676,348099	61687,1296551	117704,5552225
538	448,03	0,58475	1,0786		0,292375		91013,434849	61687,53397825	117705,3473446
538,77	470	0,73185	1,2029		0,365925		91366,8763989999	61688,04086925	117706,2257221
539,54	495,41	0,88518	1,3306		0,44259		91738,5592489999	61688,6634258	117707,2011196
540,31	529,44	1,0326	1,4553		0,5163		92133,1264989999	61689,4017711	117708,2736911
541,08	577,83	1,187	1,5853		0,5935		92559,425449	61690,2563171	117709,4443221
541,85	623,83	1,3786	1,7529		0,6893		93022,064549	61691,2440731	117710,7295291
542,61	667,04	1,5317	1,8831		0,76585		93512,595149	61692,3499871	117712,1112091
543,38	707,49	1,5872	1,9287		0,7936		94041,789199	61693,5507636	117713,5787521
544,15	745,29	1,6023	1,9342		0,80115		94601,109499	61694,7787211	117715,0659686
544,92	781,07	1,5998	1,9247		0,7999		95188,7580989999	61696,0115296	117716,5516451
545,69	814,89	1,5632	1,8837		0,7816		95803,202699	61697,2292846	117718,0178791
546,46	846,65	1,4744	1,7924		0,7372		96442,895599	61698,3987606	117719,4331776
547,23	875,57	1,3546	1,6735		0,6773		97105,950299	61699,4879256	117720,7675491
548	899,96	1,2278	1,5496		0,6139		97789,529349	61700,4821496	117722,0084426
548,77	914,63	1,1014	1,4268		0,5507		98488,1464989999	61701,3788916	117723,1543566
549,54	913,4	0,96203	1,2922		0,481015		99191,9380489999	61702,17331215	117724,2011716
550,31	912,15	0,77159	1,1078		0,385795		99894,7747989999	61702,84075585	117725,1251716
551,07	910,95	0,60927	0,95144		0,304635		100587,552799	61703,36548265	117725,9076828
551,84	909,79	0,53273	0,87342		0,266365		101288,537699	61703,80515265	117726,6102539
552,61	908,75	0,48302	0,82201		0,24151		101988,675599	61704,1962164	117727,26299445
553,38	907,76	0,43606	0,77311		0,21803		102688,031949	61704,5500622	117727,87711565
554,15	897,22	0,38778	0,72512		0,19389		103382,949249	61704,8672406	117728,4539342
554,92	877,94	0,3503	0,68769		0,17515		104066,385849	61705,1514014	117728,99786605
555,69	855,64	0,31738	0,65394		0,15869		104733,814149	61705,4084582	117729,5143936
556,45	830,76	0,28553	0,62291		0,142765		105374,646149	61705,637564	117729,9995966
557,22	803,77	0,25637	0,59304		0,128185		106003,940199	61705,8461955	117730,46773735
557,99	774,97	0,2322	0,56815		0,1161		106611,755099	61706,03429495	117730,9147955
558,76	744,77	0,21564	0,55391		0,10782		107196,854999	61706,20671335	117731,3467886
559,53	712,84	0,20509	0,54167		0,102545		107758,034849	61706,3686944	117731,7685869
560,29	678,99	0,19519	0,52903		0,097595		108286,930249	61706,5208008	117732,1754529
561,06	643,37	0,19102	0,52149		0,09551		108796,038849	61706,66949165	117732,5799031
561,83	606,07	0,1853	0,51497		0,09265		109277,073249	61706,81437485	117732,9789402
562,6	577,01	0,17997	0,50471		0,089985		109732,559049	61706,9550038	117733,371517
563,36	556,03	0,17827	0,49876		0,089135		110163,114249	61707,091135	117733,7528356
564,13	538,25	0,17593	0,49561		0,087965		110584,412049	61707,227502	117734,13566805
564,9	524,03	0,17242	0,4903		0,08621		110993,389849	61707,36161675	117734,5152434
565,67	513,99	0,17137	0,48407		0,085685		111393,027549	61707,4939759	117734,89037585
566,43	508,99	0,16942	0,47915		0,08471		111781,759949	61707,6234761	117735,25639945
567,2	509,92	0,17187	0,47646		0,085935		112174,040299	61707,75487275	117735,6243093
567,97	518,29	0,16914	0,47037		0,08457		112569,901149	61707,8861616	117735,98883885
568,73	535,59	0,17029	0,47012		0,085145		112970,375549	61708,015145	117736,34622505
569,5	562,28	0,16962	0,4661		0,08481		113393,055499	61708,14601035	117736,70666975
570,27	597,74	0,1718	0,46537		0,0859		113839,663199	61708,27745705	117737,0652857
571,03	635,02	0,17425	0,46632		0,087125		114308,111999	61708,40895605	117737,4193279
571,8	672,92	0,17951	0,46895		0,089755		114811,668899	61708,54515365	117737,77940685
572,57	710,73	0,2	0,4799		0,1		115344,374149	61708,691265	117738,1447141
573,33	747,59	0,22549	0,49692		0,112745		115898,535749	61708,8529512	117738,5159057
574,1	782,4	0,24454	0,50916		0,12227		116487,581899	61709,03391275	117738,9032465
574,87	814,1	0,27536	0,53167		0,13768		117102,234399	61709,23407425	117739,30396605
575,63	841,39	0,30586	0,55449		0,15293		117731,320599	61709,45493785	117739,71670685
576,4	863,12	0,336	0,57698		0,168		118387,556949	61709,70205395	117740,1523228
577,16	876,23	0,35911	0,59056		0,179555		119048,509949	61709,96619575	117740,595988
577,93	877,56	0,38224	0,6075		0,19112		119723,719099	61710,2516155	117741,0572411
578,7	867,98	0,40739	0,6262		0,203695		120395,751999	61710,55562305	117741,5322156
579,46	854,03	0,44018	0,65141		0,22009		121050,115799	61710,87769965	117742,0177074
580,23	836,41	0,46688	0,67055		0,23344		121700,935199	61711,22691775	117742,526662
580,99	815,35	0,47717	0,67699		0,238585		122328,603999	61711,58565675	117743,0387272
581,76	791,08	0,48149	0,67875		0,240745		122947,079549	61711,95474085	117743,5606871
582,52	763,93	0,49726	0,69264		0,24863		123537,983349	61712,32666585	117744,0818153
583,29	733,95	0,50931	0,70191		0,254655		124114,667149	61712,7141953	117744,61871705
584,05	701,51	0,51601	0,70494		0,258005		124660,141949	61713,1038169	117745,15332005
584,82	667,07	0,51869	0,70613		0,259345		125187,045249	61713,5021764	117745,696582
585,59	632,47	0,51843	0,70401		0,259215		125687,368149	61713,9014676	117746,2394859
586,35	600,26	0,51719	0,70167		0,258595		126155,805549	61714,2950032	117746,7736443
587,12	570	0,51253	0,69466		0,256265		126606,355649	61714,6914454	117747,31123135
587,88	541,97	0,49896	0,68091		0,24948		127028,904249	61715,0758116	117747,83394795
588,65	516,19	0,49017	0,67218		0,245085		127436,295849	61715,45662665	117748,3548876
589,41	492,74	0,48634	0,66801		0,24317		127819,689249	61715,82770045	117748,8641598
590,17	471,51	0,47583	0,65639		0,237915		128186,104249	61716,19332505	117749,3674318
590,94	452,28	0,45145	0,63446		0,225725		128541,763399	61716,55032785	117749,86440905
591,7	434,75	0,41717	0,60325		0,208585		128878,834799	61716,88040345	117750,33473885
592,47	418,51	0,38469	0,57422		0,192345		129207,339899	61717,18911955	117750,7880648
593,23	403,04	0,3601	0,55115		0,18005		129519,528899	61717,47213975	117751,2157054
594	388,12	0,34353	0,53518		0,171765		129824,125499	61717,7430373	117751,63394245
594,76	373,93	0,33063	0,52477		0,165315		130113,704499	61717,9992181	117752,03672345
595,53	360,63	0,32292	0,51683		0,16146		130396,510099	61718,25083485	117752,43773945
596,29	348,01	0,31709	0,51036		0,158545		130665,793299	61718,49403865	117752,82807165
597,05	335,93	0,30154	0,49607		0,15077		130925,690499	61718,72911805	117753,21051505
597,82	324,24	0,28075	0,47611		0,140375		131179,855949	61718,9532997	117753,58480435
598,58	312,83	0,26542	0,46133		0,13271		131421,942549	61719,1608443	117753,94103155
599,34	301,78	0,25876	0,45267		0,12938		131655,494349	61719,3600327	117754,28835155
600,11	291,21	0,25362	0,44603		0,12681		131883,795499	61719,557299	117754,63435105
600,87	281,32	0,25069	0,44201		0,125345		132101,356899	61719,7489368	117754,97180625
601,64	272,23	0,24842	0,43613		0,12421		132314,473649	61719,94109415	117755,30989015
602,4	263,88	0,2483	0,43557		0,12415		132518,195449	61720,12984775	117755,64113615
603,16	256,32	0,24708	0,43002		0,12354		132715,871449	61720,31809215	117755,97006035
603,93	249,39	0,24815	0,42765		0,124075		132910,569799	61720,5087557	117756,3002633
604,69	243,06	0,25529	0,43063		0,127645		133097,700799	61720,7000629	117756,6264097
605,45	237,32	0,28774	0,45542		0,14387		133280,245199	61720,9064143	117756,9631087
606,22	232,11	0,37149	0,5299		0,185745		133460,975749	61721,16021785	117757,3424569
606,98	227,45	0,56032	0,70258		0,28016		133635,608549	61721,51430565	117757,8107993
607,74	223,19	0,78403	0,90672		0,392015		133806,851749	61722,02515865	117758,4223333
608,5	219,16	0,94136	1,0489		0,47068		133974,944749	61722,68080685	117759,1654689
609,27	215,3	1,0351	1,132		0,51755		134142,211849	61723,44174395	117760,0051154
610,03	211,66	1,1058	1,198		0,5529		134304,456649	61724,25528595	117760,8905154
610,79	208,3	1,1632	1,2482		0,5816		134464,041449	61725,11750595	117761,8200714
611,55	205,08	1,2081	1,2886		0,60405		134621,125849	61726,01859995	117762,7840554
612,32	202,07	1,2287	1,3101		0,61435		134777,878599	61726,95676795	117763,7845549
613,08	199,23	1,2367	1,3219		0,61835		134930,372599	61727,89361995	117764,7847149
613,84	196,51	1,218	1,3109		0,609		135080,753799	61728,82640595	117765,7851789
614,6	193,87	1,1507	1,2512		0,57535		135229,098199	61729,72651195	117766,7587769
615,37	191,26	0,98234	1,0967		0,49117		135377,373249	61730,54773235	117767,6627184
616,13	188,73	0,78302	0,91192		0,39151		135521,769449	61731,21856915	117768,425994
616,89	186,43	0,64929	0,78973		0,324645		135664,330249	61731,76284695	117769,072621
617,65	184,36	0,57631	0,72196		0,288155		135805,230449	61732,22857495	117769,6470632
618,41	182,5	0,52205	0,67041		0,261025		135944,637249	61732,64595175	117770,1761638
619,17	180,73	0,4757	0,62802		0,23785		136082,664649	61733,02509675	117770,6695672
619,94	179,11	0,43914	0,59468		0,21957		136221,203049	61733,37731015	117771,1403067
620,7	177,62	0,42023	0,57395		0,210115		136356,760449	61733,70387075	117771,5843861
621,46	176,25	0,40779	0,55704		0,203895		136491,231049	61734,01851835	117772,0141623
622,22	175	0,39886	0,54315		0,19943		136624,706049	61734,32504535	117772,4322345
622,98	173,83	0,38901	0,53113		0,194505		136757,261449	61734,62443595	117772,8404609
623,74	172,76	0,37844	0,51903		0,18922		136888,965649	61734,91606695	117773,2395217
624,5	171,78	0,36046	0,50322		0,18023		137019,890849	61735,19684895	117773,6279767
625,27	170,85	0,34886	0,49074		0,17443		137151,803399	61735,46993715	117774,0106513
626,03	169,98	0,3441	0,48523		0,17205		137281,318799	61735,73326195	117774,3815199
626,79	169,12	0,3472	0,48692		0,1736		137410,176799	61735,99595595	117774,7509369
627,55	168,32	0,35556	0,49336		0,17778		137538,403999	61736,26300475	117775,1234433
628,31	167,56	0,35084	0,48875		0,17542		137666,038399	61736,53143675	117775,4966451
629,07	166,79	0,34016	0,47827		0,17008		137793,091399	61736,79401675	117775,8641127
629,83	166,01	0,32373	0,46405		0,161865		137919,555399	61737,04629495	117776,2221943
630,59	165,19	0,30821	0,45196		0,154105		138045,411399	61737,28643215	117776,5702781
631,35	164,39	0,29239	0,43776		0,146195		138170,651799	61737,51466015	117776,9083717
632,11	163,58	0,27664	0,4227		0,13832		138295,280399	61737,73089155	117777,2353465
632,87	162,75	0,26369	0,40977		0,131845		138419,285799	61737,93621695	117777,5516851
633,63	161,96	0,24498	0,39159		0,12249		138542,675599	61738,12951155	117777,8562019
634,39	161,14	0,21889	0,36844		0,109445		138665,453599	61738,30578215	117778,1450133
635,15	160,31	0,18939	0,34134		0,094695		138787,604599	61738,46092855	117778,4147297
635,91	159,5	0,15932	0,31405		0,07966		138909,132399	61738,59343835	117778,6637779
636,67	158,68	0,14023	0,29534		0,070115		139030,040799	61738,70726735	117778,8953461
637,43	157,88	0,1287	0,28447		0,06435		139150,333599	61738,80946075	117779,1156739
638,19	157,07	0,12457	0,27975		0,062285		139270,014599	61738,90570335	117779,3300775
638,95	156,32	0,1239	0,27586		0,06195		139389,102799	61739,00012195	117779,5412093
639,71	155,54	0,12211	0,2729		0,061055		139507,609599	61739,09360575	117779,7497381
640,47	154,74	0,11984	0,27142		0,05992		139625,515999	61739,18554675	117779,9565797
641,23	153,95	0,11912	0,27012		0,05956		139742,818199	61739,27635155	117780,1623649
641,99	153,15	0,11993	0,27112		0,059965		139859,516199	61739,36719055	117780,3680361
642,75	152,31	0,12279	0,27227		0,061395		139975,590999	61739,45942415	117780,5745243
643,51	151,51	0,12517	0,27425		0,062585		140091,042599	61739,55364895	117780,7822019
644,27	150,69	0,12552	0,27382		0,06276		140205,878599	61739,64891115	117780,9904685
645,03	149,86	0,13071	0,27798		0,065355		140320,087599	61739,74627855	117781,2001525
645,79	149,04	0,13426	0,2805		0,06713		140433,669599	61739,84696715	117781,4123749
646,54	148,25	0,14371	0,28703		0,071855		140545,153349	61739,9512059	117781,62519865
647,3	147,42	0,14998	0,29102		0,07499		140657,507949	61740,0628081	117781,84485765
648,06	146,61	0,15486	0,29399		0,07743		140769,239349	61740,1786473	117782,06716145
648,82	145,83	0,1596	0,29577		0,0798		140880,366549	61740,2981421	117782,29127025
649,58	145,03	0,16036	0,29447		0,08018		140990,893349	61740,4197269	117782,51556145
650,34	144,24	0,16088	0,29497		0,08044		141100,815949	61740,5417981	117782,73954865
651,1	143,48	0,15846	0,29537		0,07923		141210,149549	61740,6631473	117782,96387785
651,85	142,69	0,15499	0,29432		0,077495		141317,463299	61740,78069105	117783,1850116
652,61	141,89	0,15461	0,29572		0,077305		141425,603699	61740,89833905	117783,4092268
653,37	141,12	0,15037	0,2961		0,075185		141533,147499	61741,01423145	117783,6341184
654,13	140,34	0,14819	0,29856		0,074095		141640,102299	61741,12768425	117783,8600892
654,89	139,57	0,13607	0,29198		0,068035		141746,468099	61741,23570305	117784,0844944
655,64	138,82	0,1269	0,28746		0,06345		141850,864349	61741,3343168	117784,3017844
656,4	138,04	0,12005	0,28321		0,060025		141956,071149	61741,4281578	117784,518639
657,16	137,3	0,11384	0,27808		0,05692		142060,700349	61741,517036	117784,7319292
657,92	136,57	0,1132	0,27646		0,0566		142164,770949	61741,6033112	117784,9426544
658,68	135,86	0,11772	0,27766		0,05886		142268,294349	61741,6910608	117785,15322
659,43	135,2	0,12176	0,27593		0,06088		142369,941849	61741,7808658	117785,36081625
660,19	134,56	0,12621	0,2754		0,063105		142472,450649	61741,8750944	117785,57032165
660,95	133,94	0,12496	0,27086		0,06248		142574,480649	61741,970539	117785,77790045
661,71	133,33	0,12606	0,26567		0,06303		142676,043249	61742,0659266	117785,98178185
662,46	132,78	0,12744	0,25944		0,06372		142775,834499	61742,1609891	117786,1786981
663,22	132,23	0,13026	0,25569		0,06513		142876,538299	61742,2589151	117786,3744475
663,98	131,72	0,13204	0,25243		0,06602		142976,839299	61742,3585891	117786,5675331
664,73	131,27	0,13487	0,25073		0,067435		143075,460549	61742,45868035	117786,7562181
665,49	130,85	0,13639	0,25113		0,068195		143175,066149	61742,56175915	117786,9469249
666,25	130,49	0,1353	0,24943		0,06765		143274,375349	61742,66500135	117787,1371377
667	130,13	0,12893	0,24244		0,064465		143372,107849	61742,7640876	117787,32158895
667,76	129,81	0,12621	0,23988		0,063105		143470,885049	61742,8610408	117787,50487055
668,52	129,51	0,1237	0,23671		0,06185		143569,426649	61742,9560066	117787,68597475
669,27	129,23	0,12541	0,23523		0,062705		143666,454149	61743,04942285	117787,86295225
670,03	129,03	0,12397	0,23286		0,061985		143764,592949	61743,14418725	117788,04082645
670,79	128,81	0,12173	0,22982		0,060865		143862,572149	61743,23755325	117788,21664485
671,54	128,64	0,12162	0,22878		0,06081		143959,115899	61743,3288095	117788,38861985
672,3	128,45	0,12032	0,2251		0,06016		144056,810099	61743,4207467	117788,56109425
673,06	128,3	0,12128	0,22354		0,06064		144154,375099	61743,5125547	117788,73157745
673,81	128,15	0,12198	0,22039		0,06099		144250,543849	61743,6037772	117788,8980512
674,57	127,98	0,12134	0,21882		0,06067		144347,873249	61743,6962388	117789,064951
675,32	127,86	0,1231	0,21924		0,06155		144443,813249	61743,7879038	117789,2292235
676,08	127,72	0,12086	0,21605		0,06043		144540,933649	61743,8806086	117789,3946337
676,84	127,61	0,12145	0,21599		0,060725		144637,959049	61743,9726864	117789,5588089
677,59	127,51	0,12217	0,21496		0,061085		144733,629049	61744,0640439	117789,72041515
678,35	127,36	0,1238	0,21376		0,0619		144830,479649	61744,1575125	117789,88332875
679,1	127,24	0,12514	0,21238		0,06257		144925,954649	61744,250865	117790,04313125
679,86	127,1	0,12526	0,2107		0,06263		145022,603849	61744,346017	117790,20390165
680,61	126,97	0,12685	0,21021		0,063425		145117,880099	61744,44055825	117790,3617429
681,37	126,84	0,12438	0,20712		0,06219		145214,327899	61744,53602565	117790,5203283
682,12	126,69	0,12324	0,20482		0,06162		145309,401649	61744,62888315	117790,6748058
682,88	126,55	0,12736	0,20547		0,06368		145405,632849	61744,72411115	117790,830716
683,63	126,38	0,13124	0,20482		0,06562		145500,481599	61744,82108615	117790,98457475
684,39	126,19	0,13892	0,20852		0,06946		145596,458199	61744,92374695	117791,14164395
685,14	126	0,1419	0,20521		0,07095		145691,029449	61745,02905445	117791,2967927
685,9	125,77	0,14301	0,20369		0,071505		145786,702049	61745,13732025	117791,4521747
686,65	125,56	0,14507	0,20337		0,072535		145880,950799	61745,24535025	117791,6048222
687,41	125,33	0,1458	0,20295		0,0729		145976,288999	61745,35588085	117791,7592238
688,16	125,11	0,146	0,19956		0,073		146070,203999	61745,46530585	117791,91016505
688,92	124,9	0,14879	0,20161		0,074395		146165,207799	61745,57732605	117792,06260965
689,67	124,73	0,15475	0,20533		0,077375		146258,819049	61745,69115355	117792,21521215
690,42	124,54	0,16141	0,20893		0,080705		146352,295299	61745,80971355	117792,37055965
691,18	124,33	0,16154	0,20873		0,08077		146446,865899	61745,93243455	117792,52927045
691,93	124,12	0,16042	0,20673		0,08021		146540,034649	61746,05316955	117792,68506795
692,69	123,88	0,1571	0,20059		0,07855		146634,274649	61746,17382715	117792,83984955
693,44	123,58	0,15554	0,19882		0,07777		146727,072149	61746,29106715	117792,9896283
694,2	123,25	0,15661	0,19555		0,078305		146820,867549	61746,40968415	117793,1394889
694,95	122,84	0,15657	0,19171		0,078285		146913,151299	61746,52712665	117793,2847114
695,7	122,34	0,15832	0,18993		0,07916		147005,093799	61746,6452104	117793,4278264
696,46	121,79	0,16341	0,19119		0,081705		147097,863199	61746,7674678	117793,572652
697,21	121,1	0,16242	0,18555		0,08121		147188,946949	61746,88965405	117793,7139295
697,96	120,29	0,16587	0,18251		0,082935		147279,468199	61747,0127628	117793,851952
698,72	119,37	0,16531	0,17781		0,082655		147370,538999	61747,1386112	117793,9888736
699,47	118,32	0,16976	0,17602		0,08488		147459,672749	61747,26426245	117794,12155985
700,22	117,16	0,17714	0,17797		0,08857		147547,977749	61747,39434995	117794,2543061
700,98	115,87	0,1859	0,18157		0,09295		147636,529149	61747,53230515	117794,3909313
701,73	114,46	0,19748	0,18839		0,09874		147722,902899	61747,67607265	117794,5296663
702,48	112,89	0,21468	0,2018		0,10734		147808,159149	61747,83063265	117794,67598755
703,24	111,19	0,23995	0,22089		0,119975		147893,309549	61748,00339205	117794,83660975
703,99	109,31	0,26386	0,23761		0,13193		147975,997049	61748,1923208	117795,00854725
704,74	107,24	0,28586	0,25213		0,14293		148057,203299	61748,3984658	117795,19219975
705,49	104,96	0,31361	0,27195		0,156805		148136,778299	61748,62326705	117795,38872975
706,25	102,46	0,3295	0,28099		0,16475		148215,597899	61748,86764885	117795,59884695
707	99,741	0,34796	0,29063		0,17398		148291,423274	61749,12169635	117795,81320445
707,75	96,826	0,36948	0,30073		0,18474		148365,135899	61749,39073635	117796,03496445
708,5	93,639	0,39156	0,31206		0,19578		148436,560274	61749,67612635	117796,2647607
709,26	90,231	0,41257	0,3204		0,206285		148506,430874	61749,98169575	117796,5050955
710,01	86,585	0,42841	0,31938		0,214205		148572,736874	61750,29706325	117796,745013
710,76	82,744	0,43318	0,30752		0,21659		148636,235249	61750,6201595	117796,9801005
711,51	78,698	0,43288	0,28963		0,21644		148696,775999	61750,944932	117797,20403175
712,27	74,516	0,43381	0,26971		0,216905		148754,997319	61751,2742742	117797,41658095
713,02	70,207	0,43639	0,25218		0,218195		148809,268444	61751,6005992	117797,6122897
713,77	65,848	0,43713	0,2311		0,218565		148860,289069	61751,9281692	117797,7935197
714,52	61,433	0,44683	0,21807		0,223415		148908,019444	61752,2596542	117797,96195845
715,27	57,063	0,45873	0,20507		0,229365		148952,455444	61752,5992392	117798,12063595
716,02	52,726	0,4695	0,18946		0,23475		148993,626319	61752,94732545	117798,2685847
716,78	48,502	0,48289	0,1711		0,241445		149032,092959	61753,30923365	117798,4055975
717,53	44,402	0,50213	0,15935		0,251065		149066,931959	61753,67861615	117798,52951625
718,28	40,49	0,52902	0,15106		0,26451		149098,766459	61754,0652974	117798,64592
719,03	36,77	0,56322	0,14851		0,28161		149127,738959	61754,4748874	117798,75825875
719,78	33,265	0,60105	0,14606		0,300525		149154,002084	61754,91148865	117798,8687225
720,53	29,998	0,64469	0,1479		0,322345		149177,725709	61755,37864115	117798,9789575
721,28	26,963	0,69049	0,14657		0,345245		149199,086084	61755,87933365	117799,08938375
722,03	24,156	0,74416	0,14533		0,37208		149218,255709	61756,4173274	117799,19884625
722,79	21,601	0,803	0,14508		0,4015		149235,643369	61757,0052482	117799,30920205
723,54	19,264	0,87377	0,14654		0,436885		149250,967744	61757,63403695	117799,41855955
724,29	17,157	0,95147	0,14822		0,475735		149264,625619	61758,31850195	117799,52909455
725,04	15,247	1,0356	0,14957		0,5178		149276,777119	61759,0636532	117799,6407658
725,79	13,535	1,1303	0,14544		0,56515		149287,570369	61759,8758657	117799,75139455
726,54	11,986	1,235	0,14401		0,6175		149297,140744	61760,7628532	117799,8599383
727,29	10,601	1,3573	0,14329		0,67865		149305,610869	61761,7349657	117799,9676758
728,04	9,3635	1,4934	0,14211		0,7467		149313,0975565	61762,8039782	117800,0747008
728,79	8,258	1,6472	0,14123		0,8236		149319,705619	61763,9817032	117800,1809533
729,54	7,2771	1,8258	0,14311		0,9129		149325,5312815	61765,2840782	117800,2875808
730,29	6,4013	2,0236	0,14282		1,0118		149330,6606815	61766,7276032	117800,39480455
731,04	5,6252	2,2484	0,14204		1,1242		149335,170619	61768,3296032	117800,50162705
731,79	4,9375	2,4955	0,14329		1,24775		149339,1316315	61770,1085657	117800,6086258
732,54	4,3297	2,7734	0,14397		1,3867		149342,6068315	61772,0844032	117800,7163483
