Wasser_exc370_20nm slit each_slow,,
Wavelength (nm),Intensity (a.u.),
615.0700073,0.4965524971,
615.9400024,0.4824240804,
616.9500122,0.4228968918,
617.9699707,0.4601145983,
618.9799805,0.4343978167,
620,0.4099084139,
621.0200195,0.4128134251,
622.0499878,0.4696662128,
622.9400024,0.3891973495,
623.9699707,0.4559908807,
625,0.421720624,
626.0200195,0.4359590113,
627.0499878,0.4145920277,
627.9400024,0.4118114114,
628.9699707,0.4511895776,
630,0.4302917421,
631.0100098,0.4193292558,
632.0200195,0.387598455,
633.039978,0.401904881,
634.0499878,0.3886529505,
635.0700073,0.3848592341,
635.9400024,0.3609350026,
636.9500122,0.4153189361,
637.9699707,0.4102677107,
638.9799805,0.4189804196,
640,0.3426117301,
641.0100098,0.4082581401,
642.0200195,0.3864121139,
643.039978,0.3647083938,
644.0499878,0.3562760353,
645.0700073,0.3874617517,
645.9400024,0.4026126862,
646.9500122,0.3605793417,
647.9699707,0.3710078597,
648.9799805,0.3525107205,
650,0.4194244742,
651.0100098,0.3847578764,
652.0200195,0.3366062343,
653.039978,0.3913212121,
654.0499878,0.3739677668,
655.0700073,0.3776182234,
655.9400024,0.4281441569,
656.9500122,0.3904708922,
657.9699707,0.3873539865,
658.9799805,0.3917437494,
660,0.4070605934,
661,0.4060710669,
662,0.385469228,
663,0.4189806283,
664,0.3768854439,
665,0.3991259336,
666,0.4014929831,
667,0.3731487095,
668,0.4315995276,
669,0.3457709551,
670,0.4143851995,
671.0100098,0.4050018489,
672.0200195,0.4509156346,
673.039978,0.4152546525,
674.0499878,0.4272436202,
675.0700073,0.3709834516,
675.9400024,0.461443305,
676.9500122,0.414278537,
677.9699707,0.4425404668,
678.9799805,0.4385362267,
680,0.4210339785,
681,0.4224714637,
682,0.4365336597,
683,0.4372223318,
684,0.462544024,
685,0.5262745619,
686,0.5027854443,
687,0.4872813523,
688,0.4937395453,
689,0.4947785735,
690,0.5700749159,
691,0.5586277843,
692,0.6358464956,
693,0.7620265484,
694,0.7596570253,
695,0.9298880696,
696,1.046853304,
697,1.243446231,
698,1.478108644,
699,1.729954123,
700,2.003117323,

Wasser_exc370_20nm slit each_slow,
Wasser_exc370_20nm slit each_slow
Collection Time: 24/01/2020 09:34:24
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          FL1004M011
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        390.00
Stop (nm)                         700.00
Ex. Wavelength (nm)               370.00
Ex. Slit (nm)                     20
Em. Slit (nm)                     20
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : E:\Fluoreszenz\Jacob Schneidewind\JS591_exc370_20nm slit each_slow.FBSW
Date/Time stamp: 24/01/2020 09:33:30
Method Modifications:
Scan Control Changed: 24/01/2020 09:24:27, Old:Medium, New:Fast
Excitation Wavelength Changed: 24/01/2020 09:24:27, Old: 350.00, New: 370.00
Data interval: Changed: 24/01/2020 09:24:27, Old:   1.00, New:   2.00
Emission Wavelength Changed: 24/01/2020 09:24:27, Old: 400.00, New: 390.00
Stop Wavelength Changed: 24/01/2020 09:24:27, Old: 600.00, New: 700.00
Ex. Slit Width (nm): Changed: 24/01/2020 09:26:05, Old:5, New:20
Em. Slit Width (nm): Changed: 24/01/2020 09:26:05, Old:5, New:20
Scan Control Changed: 24/01/2020 09:30:25, Old:Fast, New:Slow
Ave. time (s): Changed: 24/01/2020 09:30:25, Old:0.10000, New:0.50000
Data interval: Changed: 24/01/2020 09:30:25, Old:   2.00, New:   1.00
End Method Modifications

