182.5000000000;0.9744772911
183.0000000000;1.0116331577
183.5000000000;1.0261645317
184.0000000000;1.0227997303
184.5000000000;1.0347692966
185.0000000000;1.0989835262
185.5000000000;1.2051087618
186.0000000000;1.2871844769
186.5000000000;1.4296112061
187.0000000000;1.7019662857
187.5000000000;1.8998303413
188.0000000000;2.0249280930
188.5000000000;2.1958141327
189.0000000000;2.3716485500
189.5000000000;2.4606561661
190.0000000000;2.5044319630
190.5000000000;2.5747983456
191.0000000000;2.6627810001
191.5000000000;2.7114160061
192.0000000000;2.7252976894
192.5000000000;2.7310531139
193.0000000000;2.7510581017
193.5000000000;2.7925767899
194.0000000000;2.8547680378
194.5000000000;2.8803291321
195.0000000000;2.8370182514
195.5000000000;2.8159701824
196.0000000000;2.8473713398
196.5000000000;2.9099218845
197.0000000000;2.9665884972
197.5000000000;2.9820046425
198.0000000000;2.9970669746
198.5000000000;3.0355329514
199.0000000000;3.0775113106
199.5000000000;3.1012220383
200.0000000000;3.1000268459
200.5000000000;3.1222720146
201.0000000000;3.1789431572
201.5000000000;3.1869947910
202.0000000000;3.1697471142
202.5000000000;3.2189390659
203.0000000000;3.2761051655
203.5000000000;3.2568840981
204.0000000000;3.2298047543
204.5000000000;3.2358481884
205.0000000000;3.2649164200
205.5000000000;3.2957062721
206.0000000000;3.2986855507
206.5000000000;3.2639253139
207.0000000000;3.2096347809
207.5000000000;3.1746721268
208.0000000000;3.1628973484
208.5000000000;3.1595821381
209.0000000000;3.1701469421
209.5000000000;3.1903188229
210.0000000000;3.1702318192
210.5000000000;3.1196684837
211.0000000000;3.1021592617
211.5000000000;3.1224005222
212.0000000000;3.1615059376
212.5000000000;3.1902129650
213.0000000000;3.1746957302
213.5000000000;3.1055252552
214.0000000000;3.0729303360
214.5000000000;3.1617569923
215.0000000000;3.2519257069
215.5000000000;3.2116706371
216.0000000000;3.1921374798
216.5000000000;3.2359089851
217.0000000000;3.2867574692
217.5000000000;3.3138418198
218.0000000000;3.3142356873
218.5000000000;3.3209261894
219.0000000000;3.3388190269
219.5000000000;3.3370537758
220.0000000000;3.3325386047
220.5000000000;3.3534750938
221.0000000000;3.3678283691
221.5000000000;3.3579971790
222.0000000000;3.3594377041
222.5000000000;3.3791627884
223.0000000000;3.3961133957
223.5000000000;3.3789439201
224.0000000000;3.3289957047
224.5000000000;3.3155291080
225.0000000000;3.3436217308
225.5000000000;3.3461577892
226.0000000000;3.3161411285
226.5000000000;3.2835922241
227.0000000000;3.2655596733
227.5000000000;3.2658956051
228.0000000000;3.2743556499
228.5000000000;3.2800457478
229.0000000000;3.2730581760
229.5000000000;3.2498733997
230.0000000000;3.2254743576
230.5000000000;3.2399911880
231.0000000000;3.2627480030
231.5000000000;3.2101771832
232.0000000000;3.1641421318
232.5000000000;3.1949613094
233.0000000000;3.2397136688
233.5000000000;3.2405245304
234.0000000000;3.2023975849
234.5000000000;3.1938359737
235.0000000000;3.2658209801
235.5000000000;3.2842788696
236.0000000000;3.2012968063
236.5000000000;3.1915371418
237.0000000000;3.2605471611
237.5000000000;3.3114473820
238.0000000000;3.2924332619
238.5000000000;3.2330508232
239.0000000000;3.2291121483
239.5000000000;3.2752218246
240.0000000000;3.2812073231
240.5000000000;3.2697925568
241.0000000000;3.2857053280
241.5000000000;3.2701745033
242.0000000000;3.2291102409
242.5000000000;3.2512457371
243.0000000000;3.3130781651
243.5000000000;3.3294875622
244.0000000000;3.3335900307
244.5000000000;3.3539810181
245.0000000000;3.3363103867
245.5000000000;3.3068811893
246.0000000000;3.3345167637
246.5000000000;3.3342339993
247.0000000000;3.2472047806
247.5000000000;3.2132866383
248.0000000000;3.2468826771
248.5000000000;3.2423317432
249.0000000000;3.2205138206
249.5000000000;3.2442348003
250.0000000000;3.2533874512
250.5000000000;3.2136726379
251.0000000000;3.1843695641
251.5000000000;3.1630449295
252.0000000000;3.1223955154
252.5000000000;3.1097190380
253.0000000000;3.1448538303
253.5000000000;3.1471891403
254.0000000000;3.1142206192
254.5000000000;3.1217474937
255.0000000000;3.1373615265
255.5000000000;3.1077992916
256.0000000000;3.0667872429
256.5000000000;3.0494148731
257.0000000000;3.0718669891
257.5000000000;3.0732581615
258.0000000000;3.0008914471
258.5000000000;2.9796171188
259.0000000000;3.0419466496
259.5000000000;3.0500557423
260.0000000000;3.0022330284
260.5000000000;2.9941806793
261.0000000000;2.9888408184
261.5000000000;2.9536361694
262.0000000000;2.9312794209
262.5000000000;2.9234921932
263.0000000000;2.8993093967
263.5000000000;2.8616995811
264.0000000000;2.8162162304
264.5000000000;2.7480640411
265.0000000000;2.6808991432
265.5000000000;2.6549596786
266.0000000000;2.6370038986
266.5000000000;2.5892477036
267.0000000000;2.5496788025
267.5000000000;2.5294089317
268.0000000000;2.4982893467
268.5000000000;2.4661192894
269.0000000000;2.4545545578
269.5000000000;2.4373857975
270.0000000000;2.3997282982
270.5000000000;2.3664016724
271.0000000000;2.3430149555
271.5000000000;2.3197400570
272.0000000000;2.2900898457
272.5000000000;2.2538571358
273.0000000000;2.2202117443
273.5000000000;2.1894228458
274.0000000000;2.1541271210
274.5000000000;2.1183788776
275.0000000000;2.0870866776
275.5000000000;2.0528473854
276.0000000000;2.0144677162
276.5000000000;1.9806656837
277.0000000000;1.9520535469
277.5000000000;1.9245710373
278.0000000000;1.8956729174
278.5000000000;1.8653678894
279.0000000000;1.8371715546
279.5000000000;1.8128682375
280.0000000000;1.7920143604
280.5000000000;1.7703049183
281.0000000000;1.7451654673
281.5000000000;1.7217680216
282.0000000000;1.7014528513
