
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (trace range)	umol/l	OFF	UB7-498-064	3	ON External	20.000	ON	1004	0.500	30%	40x	240	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	17.254	23.511	1007	100.000	20.950	50.083	6.802	0.827	0.075	470	0.874	-0.350	0.811	0.000	-0.000106	
Data	Smoothing:	1	
Date:	09.05.2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
09.05.2020	18:23:21	0.00		0.065000	---	---	---	16.474	---	---	---	1009.96	34.756	16.474	---	---	50.053	---	---	---	71.638	---	---	---	0.637	---	---	---	
09.05.2020	18:23:31	10.00		0.064000	---	---	---	16.472	---	---	---	1009.96	34.687	16.472	---	---	50.054	---	---	---	71.633	---	---	---	0.640	---	---	---	
09.05.2020	18:23:41	20.00		0.073000	---	---	---	16.477	---	---	---	1009.90	34.657	16.477	---	---	50.039	---	---	---	71.661	---	---	---	0.658	---	---	---	
09.05.2020	18:23:51	30.00		0.060000	---	---	---	16.474	---	---	---	1009.93	34.641	16.474	---	---	50.061	---	---	---	71.645	---	---	---	0.656	---	---	---	
09.05.2020	18:24:01	40.00		0.075000	---	---	---	16.466	---	---	---	1009.99	34.603	16.466	---	---	50.037	---	---	---	71.648	---	---	---	0.636	---	---	---	
09.05.2020	18:24:11	50.00		0.059000	---	---	---	16.477	---	---	---	1009.96	34.573	16.477	---	---	50.061	---	---	---	71.623	---	---	---	0.640	---	---	---	
09.05.2020	18:24:21	60.00		0.053000	---	---	---	16.474	---	---	---	1009.90	34.542	16.474	---	---	50.071	---	---	---	71.643	---	---	---	0.655	---	---	---	
09.05.2020	18:24:31	70.00		0.066000	---	---	---	16.477	---	---	---	1009.96	34.504	16.477	---	---	50.050	---	---	---	71.608	---	---	---	0.637	---	---	---	
09.05.2020	18:24:41	80.00		0.061000	---	---	---	16.474	---	---	---	1010.02	34.504	16.474	---	---	50.058	---	---	---	71.628	---	---	---	0.636	---	---	---	
09.05.2020	18:24:51	90.00		0.060000	---	---	---	16.474	---	---	---	1009.99	34.473	16.474	---	---	50.061	---	---	---	71.621	---	---	---	0.636	---	---	---	
09.05.2020	18:25:01	100.00		0.047000	---	---	---	16.469	---	---	---	1009.96	34.473	16.469	---	---	50.082	---	---	---	71.605	---	---	---	0.640	---	---	---	
09.05.2020	18:25:11	110.00		0.060000	---	---	---	16.472	---	---	---	1009.99	34.443	16.472	---	---	50.061	---	---	---	71.610	---	---	---	0.640	---	---	---	
09.05.2020	18:25:21	120.00		0.053000	---	---	---	16.477	---	---	---	1009.85	34.443	16.477	---	---	50.072	---	---	---	71.606	---	---	---	0.636	---	---	---	
09.05.2020	18:25:31	130.00		0.058000	---	---	---	16.469	---	---	---	1009.87	34.405	16.469	---	---	50.064	---	---	---	71.615	---	---	---	0.640	---	---	---	
09.05.2020	18:25:41	140.00		0.064000	---	---	---	16.474	---	---	---	1009.90	34.405	16.474	---	---	50.054	---	---	---	71.619	---	---	---	0.639	---	---	---	
