
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (trace range)	umol/l	OFF	UB7-498-064	3	ON External	20.000	ON	1004	1.000	30%	40x	240	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	17.254	23.511	1007	100.000	20.950	50.083	6.802	0.827	0.075	470	0.874	-0.350	0.811	0.000	-0.000106	
Data	Smoothing:	1	
Date:	05.03.2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
05.03.2020	13:55:47	0.00		-0.0060000	---	---	---	16.477	---	---	---	998.46	29.400	16.477	---	---	50.169	---	---	---	71.637	---	---	---	0.637	---	---	---	
05.03.2020	13:55:57	10.00		-0.010000	---	---	---	16.472	---	---	---	998.29	29.362	16.472	---	---	50.176	---	---	---	71.627	---	---	---	0.623	---	---	---	
05.03.2020	13:56:07	20.00		-0.0050000	---	---	---	16.474	---	---	---	998.41	29.324	16.474	---	---	50.167	---	---	---	71.639	---	---	---	0.637	---	---	---	
05.03.2020	13:56:17	30.00		0.012000	---	---	---	16.477	---	---	---	998.38	29.278	16.477	---	---	50.137	---	---	---	71.648	---	---	---	0.636	---	---	---	
05.03.2020	13:56:27	40.00		-0.018000	---	---	---	16.472	---	---	---	998.46	29.301	16.472	---	---	50.189	---	---	---	71.626	---	---	---	0.654	---	---	---	
05.03.2020	13:56:37	50.00		0.0030000	---	---	---	16.472	---	---	---	998.41	29.301	16.472	---	---	50.152	---	---	---	71.642	---	---	---	0.640	---	---	---	
05.03.2020	13:56:47	60.00		0.0020000	---	---	---	16.472	---	---	---	998.29	29.255	16.472	---	---	50.155	---	---	---	71.635	---	---	---	0.640	---	---	---	
05.03.2020	13:56:57	70.00		-0.0020000	---	---	---	16.472	---	---	---	998.52	29.217	16.472	---	---	50.162	---	---	---	71.619	---	---	---	0.628	---	---	---	
05.03.2020	13:57:07	80.00		-0.0030000	---	---	---	16.469	---	---	---	998.41	29.217	16.469	---	---	50.165	---	---	---	71.627	---	---	---	0.638	---	---	---	
05.03.2020	13:57:17	90.00		-0.027000	---	---	---	16.472	---	---	---	998.35	29.179	16.472	---	---	50.204	---	---	---	71.606	---	---	---	0.641	---	---	---	
05.03.2020	13:57:27	100.00		-0.010000	---	---	---	16.472	---	---	---	998.44	29.140	16.472	---	---	50.175	---	---	---	71.615	---	---	---	0.640	---	---	---	
05.03.2020	13:57:37	110.00		-0.011000	---	---	---	16.474	---	---	---	998.44	29.140	16.474	---	---	50.177	---	---	---	71.614	---	---	---	0.663	---	---	---	
05.03.2020	13:57:47	120.00		-0.0080000	---	---	---	16.472	---	---	---	998.46	29.140	16.472	---	---	50.172	---	---	---	71.608	---	---	---	0.640	---	---	---	
05.03.2020	13:57:57	130.00		0.0000	---	---	---	16.474	---	---	---	998.41	29.140	16.474	---	---	50.159	---	---	---	71.613	---	---	---	0.646	---	---	---	
05.03.2020	13:58:07	140.00		-0.0050000	---	---	---	16.474	---	---	---	998.46	29.102	16.474	---	---	50.167	---	---	---	71.604	---	---	---	0.637	---	---	---	
05.03.2020	13:58:17	150.00		-0.026000	---	---	---	16.482	---	---	---	998.55	29.102	16.482	---	---	50.202	---	---	---	71.597	---	---	---	0.657	---	---	---	
05.03.2020	13:58:27	160.00		-0.0060000	---	---	---	16.469	---	---	---	998.35	29.118	16.469	---	---	50.169	---	---	---	71.603	---	---	---	0.637	---	---	---	
05.03.2020	13:58:37	170.00		-0.010000	---	---	---	16.479	---	---	---	998.43	29.079	16.479	---	---	50.175	---	---	---	71.613	---	---	---	0.650	---	---	---	
05.03.2020	13:58:47	180.00		-0.014000	---	---	---	16.477	---	---	---	998.55	29.079	16.477	---	---	50.182	---	---	---	71.603	---	---	---	0.639	---	---	---	
05.03.2020	13:58:57	190.00		-0.023000	---	---	---	16.495	---	---	---	998.46	29.041	16.495	---	---	50.195	---	---	---	71.614	---	---	---	0.643	---	---	---	
05.03.2020	13:59:07	200.00		0.0060000	---	---	---	16.448	---	---	---	998.38	29.003	16.448	---	---	50.150	---	---	---	71.616	---	---	---	0.656	---	---	---	
05.03.2020	13:59:17	210.00		-0.020000	---	---	---	16.482	---	---	---	998.58	29.003	16.482	---	---	50.192	---	---	---	71.592	---	---	---	0.638	---	---	---	
05.03.2020	13:59:27	220.00		-0.028000	---	---	---	16.498	---	---	---	998.43	29.003	16.498	---	---	50.203	---	---	---	71.588	---	---	---	0.638	---	---	---	
05.03.2020	13:59:37	230.00		-0.0090000	---	---	---	16.500	---	---	---	998.49	28.919	16.500	---	---	50.171	---	---	---	71.590	---	---	---	0.667	---	---	---	
05.03.2020	13:59:47	240.00		-0.012000	---	---	---	16.503	---	---	---	998.46	29.003	16.503	---	---	50.176	---	---	---	71.608	---	---	---	0.642	---	---	---	
05.03.2020	13:59:57	250.00		-0.011000	---	---	---	16.451	---	---	---	998.46	29.003	16.451	---	---	50.180	---	---	---	71.577	---	---	---	0.642	---	---	---	
05.03.2020	14:00:07	260.00		-0.014000	---	---	---	16.472	---	---	---	998.46	28.919	16.472	---	---	50.183	---	---	---	71.582	---	---	---	0.638	---	---	---	
05.03.2020	14:00:17	270.00		-0.0020000	---	---	---	16.485	---	---	---	998.43	28.881	16.485	---	---	50.161	---	---	---	71.596	---	---	---	0.639	---	---	---	
05.03.2020	14:00:27	280.00		-0.0080000	---	---	---	16.482	---	---	---	998.38	28.881	16.482	---	---	50.172	---	---	---	71.600	---	---	---	0.645	---	---	---	
05.03.2020	14:00:37	290.00		-0.0030000	---	---	---	16.479	---	---	---	998.32	28.881	16.479	---	---	50.163	---	---	---	71.600	---	---	---	0.637	---	---	---	
05.03.2020	14:00:47	300.00		-0.0090000	---	---	---	16.469	---	---	---	998.43	28.881	16.469	---	---	50.175	---	---	---	71.589	---	---	---	0.637	---	---	---	
05.03.2020	14:00:57	310.00		-0.020000	---	---	---	16.487	---	---	---	998.46	28.881	16.487	---	---	50.192	---	---	---	71.578	---	---	---	0.656	---	---	---	
05.03.2020	14:01:07	320.00		-0.0080000	---	---	---	16.469	---	---	---	998.38	28.881	16.469	---	---	50.173	---	---	---	71.574	---	---	---	0.624	---	---	---	
05.03.2020	14:01:17	330.00		-0.0030000	---	---	---	16.459	---	---	---	998.41	28.843	16.459	---	---	50.166	---	---	---	71.585	---	---	---	0.637	---	---	---	
