
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (trace range)	umol/l	OFF	UB7-498-064	3	ON External	20.000	ON	1004	1.000	30%	40x	240	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	17.254	23.511	1007	100.000	20.950	50.083	6.802	0.827	0.075	470	0.874	-0.350	0.811	0.000	-0.000106	
Data	Smoothing:	1	
Date:	15.03.2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
15.03.2020	12:47:37	0.00		-0.0020000	---	---	---	16.440	---	---	---	1012.00	23.914	16.440	---	---	50.166	---	---	---	70.670	---	---	---	0.652	---	---	---	
15.03.2020	12:47:47	10.00		0.010000	---	---	---	16.448	---	---	---	1012.05	23.914	16.448	---	---	50.144	---	---	---	70.647	---	---	---	0.658	---	---	---	
15.03.2020	12:47:57	20.00		-0.0080000	---	---	---	16.448	---	---	---	1012.08	23.914	16.448	---	---	50.176	---	---	---	70.638	---	---	---	0.624	---	---	---	
15.03.2020	12:48:07	30.00		0.0000	---	---	---	16.448	---	---	---	1012.03	23.914	16.448	---	---	50.163	---	---	---	70.639	---	---	---	0.636	---	---	---	
15.03.2020	12:48:17	40.00		-0.010000	---	---	---	16.443	---	---	---	1012.03	23.869	16.443	---	---	50.179	---	---	---	70.664	---	---	---	0.636	---	---	---	
15.03.2020	12:48:27	50.00		0.012000	---	---	---	16.438	---	---	---	1011.97	23.830	16.438	---	---	50.142	---	---	---	70.672	---	---	---	0.638	---	---	---	
15.03.2020	12:48:37	60.00		0.0090000	---	---	---	16.440	---	---	---	1012.06	23.754	16.440	---	---	50.147	---	---	---	70.634	---	---	---	0.638	---	---	---	
15.03.2020	12:48:47	70.00		-0.0040000	---	---	---	16.451	---	---	---	1012.06	23.754	16.451	---	---	50.168	---	---	---	70.643	---	---	---	0.635	---	---	---	
15.03.2020	12:48:57	80.00		-0.0090000	---	---	---	16.446	---	---	---	1012.06	23.830	16.446	---	---	50.177	---	---	---	70.657	---	---	---	0.662	---	---	---	
15.03.2020	12:49:07	90.00		-0.0080000	---	---	---	16.448	---	---	---	1012.03	23.830	16.448	---	---	50.176	---	---	---	70.637	---	---	---	0.637	---	---	---	
15.03.2020	12:49:17	100.00		0.0000	---	---	---	16.443	---	---	---	1012.03	23.754	16.443	---	---	50.162	---	---	---	70.674	---	---	---	0.642	---	---	---	
