
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (trace range)	umol/l	OFF	UB7-498-064	3	ON External	20.000	ON	1004	1.000	30%	40x	240	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	17.254	23.511	1007	100.000	20.950	50.083	6.802	0.827	0.075	470	0.874	-0.350	0.811	0.000	-0.000106	
Data	Smoothing:	1	
Date:	13.03.2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
13.03.2020	13:28:46	0.00		0.017000	---	---	---	16.469	---	---	---	1000.51	30.254	16.469	---	---	50.130	---	---	---	71.986	---	---	---	0.636	---	---	---	
13.03.2020	13:28:56	10.00		0.011000	---	---	---	16.469	---	---	---	1000.60	30.010	16.469	---	---	50.140	---	---	---	71.993	---	---	---	0.637	---	---	---	
13.03.2020	13:29:06	20.00		0.011000	---	---	---	16.469	---	---	---	1000.51	29.972	16.469	---	---	50.141	---	---	---	71.980	---	---	---	0.637	---	---	---	
13.03.2020	13:29:16	30.00		-0.0060000	---	---	---	16.466	---	---	---	1000.54	30.033	16.466	---	---	50.171	---	---	---	71.978	---	---	---	0.637	---	---	---	
13.03.2020	13:29:26	40.00		0.0030000	---	---	---	16.461	---	---	---	1000.68	29.995	16.461	---	---	50.154	---	---	---	71.989	---	---	---	0.637	---	---	---	
13.03.2020	13:29:36	50.00		0.0020000	---	---	---	16.469	---	---	---	1000.51	29.949	16.469	---	---	50.156	---	---	---	71.961	---	---	---	0.640	---	---	---	
13.03.2020	13:29:46	60.00		0.019000	---	---	---	16.472	---	---	---	1000.65	30.148	16.472	---	---	50.128	---	---	---	71.962	---	---	---	0.634	---	---	---	
13.03.2020	13:29:56	70.00		0.0000	---	---	---	16.466	---	---	---	1000.62	30.109	16.466	---	---	50.161	---	---	---	71.970	---	---	---	0.641	---	---	---	
13.03.2020	13:30:06	80.00		0.018000	---	---	---	16.469	---	---	---	1000.65	30.071	16.469	---	---	50.129	---	---	---	71.969	---	---	---	0.629	---	---	---	
13.03.2020	13:30:16	90.00		0.0050000	---	---	---	16.469	---	---	---	1000.79	30.071	16.469	---	---	50.151	---	---	---	71.973	---	---	---	0.627	---	---	---	
13.03.2020	13:30:26	100.00		0.011000	---	---	---	16.469	---	---	---	1000.68	29.949	16.469	---	---	50.140	---	---	---	71.986	---	---	---	0.623	---	---	---	
13.03.2020	13:30:36	110.00		0.0080000	---	---	---	16.469	---	---	---	1000.60	29.888	16.469	---	---	50.145	---	---	---	71.963	---	---	---	0.622	---	---	---	
13.03.2020	13:30:46	120.00		0.0000	---	---	---	16.472	---	---	---	1000.65	29.774	16.472	---	---	50.158	---	---	---	71.953	---	---	---	0.633	---	---	---	
