
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (trace range)	umol/l	OFF	UB7-498-064	3	ON External	20.000	ON	1004	0.500	30%	40x	240	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	17.254	23.511	1007	100.000	20.950	50.083	6.802	0.827	0.075	470	0.874	-0.350	0.811	0.000	-0.000106	
Data	Smoothing:	1	
Date:	21.03.2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
21.03.2020	17:00:11	0.00		-0.0060000	---	---	---	16.440	---	---	---	1029.97	14.843	16.440	---	---	50.172	---	---	---	70.437	---	---	---	0.630	---	---	---	
21.03.2020	17:00:21	10.00		0.0050000	---	---	---	16.443	---	---	---	1029.91	14.805	16.443	---	---	50.153	---	---	---	70.442	---	---	---	0.659	---	---	---	
21.03.2020	17:00:31	20.00		0.020000	---	---	---	16.440	---	---	---	1029.94	14.767	16.440	---	---	50.129	---	---	---	70.404	---	---	---	0.638	---	---	---	
21.03.2020	17:00:41	30.00		0.0010000	---	---	---	16.446	---	---	---	1030.03	14.736	16.446	---	---	50.159	---	---	---	70.427	---	---	---	0.628	---	---	---	
21.03.2020	17:00:51	40.00		-0.0040000	---	---	---	16.440	---	---	---	1030.01	14.660	16.440	---	---	50.169	---	---	---	70.425	---	---	---	0.635	---	---	---	
21.03.2020	17:01:01	50.00		0.0040000	---	---	---	16.443	---	---	---	1029.95	14.660	16.443	---	---	50.154	---	---	---	70.392	---	---	---	0.636	---	---	---	
21.03.2020	17:01:11	60.00		0.010000	---	---	---	16.438	---	---	---	1030.01	14.698	16.438	---	---	50.144	---	---	---	70.386	---	---	---	0.638	---	---	---	
21.03.2020	17:01:21	70.00		0.018000	---	---	---	16.440	---	---	---	1029.98	14.660	16.440	---	---	50.131	---	---	---	70.395	---	---	---	0.623	---	---	---	
21.03.2020	17:01:31	80.00		-0.0050000	---	---	---	16.440	---	---	---	1030.07	14.660	16.440	---	---	50.170	---	---	---	70.413	---	---	---	0.635	---	---	---	
21.03.2020	17:01:41	90.00		-0.0050000	---	---	---	16.435	---	---	---	1030.16	14.698	16.435	---	---	50.171	---	---	---	70.382	---	---	---	0.636	---	---	---	
21.03.2020	17:01:51	100.00		0.0070000	---	---	---	16.438	---	---	---	1030.07	14.713	16.438	---	---	50.149	---	---	---	70.412	---	---	---	0.653	---	---	---	
21.03.2020	17:02:01	110.00		-0.013000	---	---	---	16.433	---	---	---	1030.10	14.713	16.433	---	---	50.184	---	---	---	70.416	---	---	---	0.639	---	---	---	
21.03.2020	17:02:11	120.00		0.0090000	---	---	---	16.438	---	---	---	1030.13	14.713	16.438	---	---	50.147	---	---	---	70.379	---	---	---	0.639	---	---	---	
21.03.2020	17:02:21	130.00		-0.0060000	---	---	---	16.438	---	---	---	1030.13	14.675	16.438	---	---	50.172	---	---	---	70.404	---	---	---	0.634	---	---	---	
