
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Sensor Spot / FTC (trace range)	% O2	OFF	TC7-499-063	3	ON External	25.000	ON	1013	0.000	40%	400x	60	ON manual	1.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	24.001	24.480	1006	100.000	20.950	50.493	6.332	0.827	0.075	470	0.874	-0.350	0.719	0.883	-0.000106	
Data	Smoothing:	5	
Date:	23.07.2019	
			 		Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
23.07.2019	15:29:39	0.00		---	-0.0016320	---	---	---	25.239	---	---	1017.13	52.016	25.239	---	---	---	50.418	---	---	---	260.563	---	---	---	1.958	---	---	
23.07.2019	15:30:09	30.00		---	-0.0012585	---	---	---	25.226	---	---	1017.11	52.049	25.226	---	---	---	50.408	---	---	---	260.602	---	---	---	1.873	---	---	
23.07.2019	15:30:39	60.00		---	-0.0010027	---	---	---	25.275	---	---	1017.21	52.073	25.275	---	---	---	50.395	---	---	---	260.649	---	---	---	2.036	---	---	
23.07.2019	15:31:09	90.00		---	0.00037355	---	---	---	25.261	---	---	1017.26	51.992	25.261	---	---	---	50.354	---	---	---	260.510	---	---	---	2.264	---	---	
23.07.2019	15:31:39	120.00		---	-0.00068811	---	---	---	25.245	---	---	1017.28	51.864	25.245	---	---	---	50.388	---	---	---	260.606	---	---	---	1.887	---	---	
23.07.2019	15:32:09	150.00		---	-0.0010225	---	---	---	25.225	---	---	1017.12	51.817	25.225	---	---	---	50.402	---	---	---	260.608	---	---	---	2.183	---	---	
23.07.2019	15:32:39	180.00		---	-0.00064892	---	---	---	25.208	---	---	1017.07	51.774	25.208	---	---	---	50.393	---	---	---	260.551	---	---	---	1.983	---	---	
23.07.2019	15:33:09	210.00		---	-0.00072756	---	---	---	25.220	---	---	1017.10	51.762	25.220	---	---	---	50.394	---	---	---	260.616	---	---	---	1.985	---	---	
23.07.2019	15:33:39	240.00		---	-0.00053090	---	---	---	25.224	---	---	1017.15	51.762	25.224	---	---	---	50.387	---	---	---	260.673	---	---	---	2.125	---	---	
23.07.2019	15:34:09	270.00		---	3.9327E-5	---	---	---	25.185	---	---	1017.12	51.743	25.185	---	---	---	50.372	---	---	---	260.560	---	---	---	2.025	---	---	
23.07.2019	15:34:39	300.00		---	-0.0019073	---	---	---	25.186	---	---	1017.13	51.792	25.186	---	---	---	50.432	---	---	---	260.696	---	---	---	2.202	---	---	
23.07.2019	15:35:09	330.00		---	-0.00074720	---	---	---	25.222	---	---	1017.13	51.837	25.222	---	---	---	50.393	---	---	---	260.725	---	---	---	2.199	---	---	
23.07.2019	15:35:39	360.00		---	-0.00045227	---	---	---	25.191	---	---	1017.10	51.768	25.191	---	---	---	50.388	---	---	---	260.658	---	---	---	1.901	---	---	
23.07.2019	15:36:09	390.00		---	-0.00013765	---	---	---	25.168	---	---	1017.10	51.731	25.168	---	---	---	50.380	---	---	---	260.699	---	---	---	2.139	---	---	
23.07.2019	15:36:39	420.00		---	-0.00027524	---	---	---	25.132	---	---	1017.28	51.701	25.132	---	---	---	50.388	---	---	---	260.627	---	---	---	2.211	---	---	
23.07.2019	15:37:09	450.00		---	-0.0013566	---	---	---	25.155	---	---	1017.26	51.756	25.155	---	---	---	50.418	---	---	---	260.692	---	---	---	1.947	---	---	
23.07.2019	15:37:39	480.00		---	-0.0020843	---	---	---	25.178	---	---	1017.15	51.737	25.178	---	---	---	50.439	---	---	---	260.700	---	---	---	2.222	---	---	
23.07.2019	15:38:09	510.00		---	-0.0018680	---	---	---	25.149	---	---	1017.13	51.774	25.149	---	---	---	50.435	---	---	---	260.635	---	---	---	2.177	---	---	
23.07.2019	15:38:39	540.00		---	-0.00017696	---	---	---	25.160	---	---	1017.20	51.762	25.160	---	---	---	50.383	---	---	---	260.685	---	---	---	2.141	---	---	
23.07.2019	15:39:09	570.00		---	-0.0015141	---	---	---	25.176	---	---	1017.12	51.731	25.176	---	---	---	50.421	---	---	---	260.728	---	---	---	2.226	---	---	
23.07.2019	15:39:39	600.00		---	-3.9326E-5	---	---	---	25.099	---	---	1017.13	51.670	25.099	---	---	---	50.384	---	---	---	260.787	---	---	---	1.933	---	---	
23.07.2019	15:40:09	630.00		---	0.00094382	---	---	---	25.115	---	---	1017.14	51.670	25.115	---	---	---	50.352	---	---	---	260.647	---	---	---	2.151	---	---	
23.07.2019	15:40:39	660.00		---	-0.00041295	---	---	---	25.096	---	---	1017.08	51.640	25.096	---	---	---	50.395	---	---	---	260.643	---	---	---	2.017	---	---	
23.07.2019	15:41:09	690.00		---	-0.0017304	---	---	---	25.074	---	---	1017.13	51.580	25.074	---	---	---	50.437	---	---	---	260.629	---	---	---	2.001	---	---	
23.07.2019	15:41:39	720.00		---	-0.00029495	---	---	---	25.126	---	---	1017.13	51.464	25.126	---	---	---	50.388	---	---	---	260.718	---	---	---	2.176	---	---	
23.07.2019	15:42:09	750.00		---	3.9329E-5	---	---	---	25.143	---	---	1017.07	51.429	25.143	---	---	---	50.377	---	---	---	260.785	---	---	---	2.006	---	---	
23.07.2019	15:42:39	780.00		---	-0.0012979	---	---	---	25.161	---	---	1017.05	51.380	25.161	---	---	---	50.417	---	---	---	260.709	---	---	---	2.161	---	---	
23.07.2019	15:43:09	810.00		---	-0.0010814	---	---	---	25.141	---	---	1017.16	51.319	25.141	---	---	---	50.412	---	---	---	260.711	---	---	---	2.180	---	---	
23.07.2019	15:43:39	840.00		---	-0.00072755	---	---	---	25.124	---	---	1017.12	51.253	25.124	---	---	---	50.402	---	---	---	260.607	---	---	---	2.130	---	---	
23.07.2019	15:44:09	870.00		---	-0.0017697	---	---	---	25.120	---	---	1017.12	51.186	25.120	---	---	---	50.434	---	---	---	260.649	---	---	---	2.133	---	---	
23.07.2019	15:44:39	900.00		---	-0.00051127	---	---	---	25.114	---	---	1017.07	51.168	25.114	---	---	---	50.397	---	---	---	260.699	---	---	---	2.058	---	---	
23.07.2019	15:45:09	930.00		---	-0.0013569	---	---	---	25.125	---	---	1017.06	51.138	25.125	---	---	---	50.421	---	---	---	260.644	---	---	---	2.112	---	---	
23.07.2019	15:45:39	960.00		---	-0.0014156	---	---	---	25.111	---	---	1017.23	51.113	25.111	---	---	---	50.426	---	---	---	260.756	---	---	---	1.955	---	---	
23.07.2019	15:46:09	990.00		---	-0.0014748	---	---	---	25.151	---	---	1017.11	51.113	25.151	---	---	---	50.423	---	---	---	260.739	---	---	---	2.099	---	---	
23.07.2019	15:46:39	1020.00		---	-0.0014945	---	---	---	25.185	---	---	1017.05	51.138	25.185	---	---	---	50.420	---	---	---	260.652	---	---	---	2.100	---	---	
23.07.2019	15:47:09	1050.00		---	-0.00015731	---	---	---	25.156	---	---	1017.09	51.083	25.156	---	---	---	50.382	---	---	---	260.708	---	---	---	2.173	---	---	
23.07.2019	15:47:39	1080.00		---	-0.00033430	---	---	---	25.165	---	---	1017.05	51.083	25.165	---	---	---	50.387	---	---	---	260.719	---	---	---	2.088	---	---	
23.07.2019	15:48:09	1110.00		---	-0.0013176	---	---	---	25.136	---	---	1016.99	51.052	25.136	---	---	---	50.419	---	---	---	260.725	---	---	---	2.069	---	---	
23.07.2019	15:48:39	1140.00		---	-0.00082595	---	---	---	25.150	---	---	1017.01	51.029	25.150	---	---	---	50.403	---	---	---	260.768	---	---	---	2.062	---	---	
