JS591_exc370_20nm slit each_slow,,
Wavelength (nm),Intensity (a.u.),
597.0499878,4.814071178,
597.9400024,4.741922379,
598.9699707,4.683982372,
600,4.605459213,
601.0200195,4.565215111,
602.0499878,4.641815186,
602.9400024,4.537554264,
603.9699707,4.488274574,
605,4.432806969,
606.0200195,4.410727978,
607.0499878,4.296452999,
607.9400024,4.24638319,
608.9699707,4.145778179,
610,4.243992805,
611.0100098,4.157089233,
612.0200195,4.044128418,
613.039978,4.031876087,
614.0499878,3.977732658,
615.0700073,4.025210381,
615.9400024,3.962747812,
616.9500122,3.880124807,
617.9699707,3.805161238,
618.9799805,3.706428289,
620,3.710950613,
621.0200195,3.641465664,
622.0499878,3.61578083,
622.9400024,3.533496857,
623.9699707,3.511713028,
625,3.466551542,
626.0200195,3.432750702,
627.0499878,3.391614199,
627.9400024,3.311969995,
628.9699707,3.335917234,
630,3.234544039,
631.0100098,3.300699949,
632.0200195,3.29700017,
633.039978,3.237168789,
634.0499878,3.196937561,
635.0700073,3.167484999,
635.9400024,3.147745371,
636.9500122,3.073526382,
637.9699707,3.077842712,
638.9799805,3.032351255,
640,3.005035162,
641.0100098,2.964626312,
642.0200195,2.912518263,
643.039978,2.89964962,
644.0499878,2.913791895,
645.0700073,2.8490839,
645.9400024,2.790213823,
646.9500122,2.739720583,
647.9699707,2.787806511,
648.9799805,2.827511549,
650,2.631336212,
651.0100098,2.63941431,
652.0200195,2.693556309,
653.039978,2.590352058,
654.0499878,2.644085407,
655.0700073,2.56958437,
655.9400024,2.48829484,
656.9500122,2.474307299,
657.9699707,2.472257614,
658.9799805,2.501214981,
660,2.402940989,
661,2.396999836,
662,2.38774848,
663,2.426189184,
664,2.3539083,
665,2.281276464,
666,2.231949329,
667,2.307026148,
668,2.170388699,
669,2.235767841,
670,2.179052114,
671.0100098,2.179414272,
672.0200195,2.182318687,
673.039978,2.146549225,
674.0499878,2.067370653,
675.0700073,2.161690474,
675.9400024,2.038971424,
676.9500122,2.052109718,
677.9699707,2.032466888,
678.9799805,2.013252974,
680,1.977165699,
681,1.967816591,
682,1.933385015,
683,1.928836107,
684,2.035947561,
685,1.916401148,
686,1.969494104,
687,1.975146413,
688,1.962628722,
689,1.995535374,
690,1.920995951,
691,1.989788175,
692,1.988196015,
693,2.024684191,
694,2.114358664,
695,2.097196341,
696,2.070766687,
697,2.137891054,
698,2.259447813,
699,2.266858578,
700,2.4875772,

JS591_exc370_20nm slit each_slow,
JS591_exc370_20nm slit each_slow
Collection Time: 24/01/2020 09:30:37
Operator Name  :
Scan Software Version: 1.1(132)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          FL1004M011
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        390.00
